dataset,column,dtype,example,description,documented
hitting_poi,session_swing,str,103_1,unique swing identifier,True
hitting_poi,session,int64,103,unique session ID,True
hitting_poi,exit_velo_mph_x,float64,97.2,exit velocity (miles per hour),True
hitting_poi,blast_bat_speed_mph_x,float64,66.8,bat speed at contact as measured by Blast Motion sensor (miles per hour),True
hitting_poi,bat_speed_mph_contact_x,float64,67.9426,resultant bat speed at contact event (miles per hour),True
hitting_poi,sweet_spot_velo_mph_contact_x,float64,67.5411,x component (toward mound) of sweet spot velocity vector at contact (miles per hour),True
hitting_poi,sweet_spot_velo_mph_contact_y,float64,1.1177,y component (toward pull-side) of sweet spot velocity vector at contact (miles per hour),True
hitting_poi,sweet_spot_velo_mph_contact_z,float64,6.404,z component (upward) of sweet spot velocity vector at contact (miles per hour),True
hitting_poi,bat_torso_angle_connection_x,float64,121.0109,bat-torso angle at down swing event - this is the same as bat_torso_angle_ds and is what Blast Motion calls “Early Connection” (deg),True
hitting_poi,attack_angle_contact_x,float64,5.7984,vertical attack angle at contact (deg),True
hitting_poi,bat_speed_mph_max_x,float64,69.2154,maximum resultant bat speed (miles per hour),True
hitting_poi,bat_speed_xy_max_x,float64,2529.2776,maximum resultant angular velocity of the bat - just x and y components (deg/sec),True
hitting_poi,bat_torso_angle_ds_x,float64,-121.3557,x component of bat-torso angle at down swing event (convention not reported) (deg),True
hitting_poi,bat_torso_angle_ds_y,float64,121.0109,vertical bat angle relative to the torso at down swing event - this is the same as bat_torso_angle_connection and is what Blast calls “Early Connection” (deg),True
hitting_poi,bat_torso_angle_ds_z,float64,101.554,z component of bat-torso angle at down swing event (convention not reported) (deg),True
hitting_poi,hand_speed_blast_bat_mph_max_x,float64,23.0841,maximum hand speed in mph - calculated the same way as Blast’s hand speed (deg/sec),True
hitting_poi,hand_speed_mag_max_x,float64,1527.4279,maximum resultant hand speed between first move and contact (deg/sec),True
hitting_poi,pelvis_angle_fm_x,float64,26.7272,pelvis angle (x) at first move - using K-Vest conventions (deg),True
hitting_poi,pelvis_angle_fm_y,float64,3.989,pelvis angle (y) at first move - using K-Vest conventions (deg),True
hitting_poi,pelvis_angle_fm_z,float64,-20.0787,pelvis angle (z) at first move - using K-Vest conventions (deg),True
hitting_poi,pelvis_angle_fp_x,float64,28.8512,pelvis angle (x) at foot plant - using K-Vest conventions (deg),True
hitting_poi,pelvis_angle_fp_y,float64,4.1585,pelvis angle (y) at foot plant - using K-Vest conventions (deg),True
hitting_poi,pelvis_angle_fp_z,float64,13.434,pelvis angle (z) at foot plant - using K-Vest conventions (deg),True
hitting_poi,pelvis_angle_hs_x,float64,27.0634,pelvis angle (x) at heel strike - using K-Vest conventions (deg),True
hitting_poi,pelvis_angle_hs_y,float64,4.7819,pelvis angle (y) at heel strike - using K-Vest conventions (deg),True
hitting_poi,pelvis_angle_hs_z,float64,-21.0498,pelvis angle (z) at heel strike - using K-Vest conventions (deg),True
hitting_poi,torso_angle_fm_x,float64,27.9432,torso angle (x) at first move - using K-Vest conventions (deg),True
hitting_poi,torso_angle_fm_y,float64,-15.0864,torso angle (y) at first move - using K-Vest conventions (deg),True
hitting_poi,torso_angle_fm_z,float64,-13.006,torso angle (z) at first move - using K-Vest conventions (deg),True
hitting_poi,torso_angle_fp_x,float64,21.8904,torso angle (x) at foot plant - using K-Vest conventions (deg),True
hitting_poi,torso_angle_fp_y,float64,-0.0221,torso angle (y) at foot plant - using K-Vest conventions (deg),True
hitting_poi,torso_angle_fp_z,float64,-5.8966,torso angle (z) at foot plant - using K-Vest conventions (deg),True
hitting_poi,torso_angle_hs_x,float64,28.8937,torso angle (x) at heel strike - using K-Vest conventions (deg),True
hitting_poi,torso_angle_hs_y,float64,-15.0236,torso angle (y) at heel strike - using K-Vest conventions (deg),True
hitting_poi,torso_angle_hs_z,float64,-12.118,torso angle (z) at heel strike - using K-Vest conventions (deg),True
hitting_poi,upper_arm_speed_mag_max_x,float64,987.9657,maximum resultant upper arm speed between first move and contact (deg/sec),True
hitting_poi,x_factor_fm_x,float64,-0.0808,x-factor angle (x) at first move (same as torso-pelvis angle) - using K-Vest conventions (deg),True
hitting_poi,x_factor_fm_y,float64,-20.1757,x-factor angle (y) at first move (same as torso-pelvis angle) - using K-Vest conventions (deg),True
hitting_poi,x_factor_fm_z,float64,-2.4765,x-factor angle (z) at first move (same as torso-pelvis angle) - using K-Vest conventions (deg),True
hitting_poi,x_factor_fp_x,float64,6.723,x-factor angle (x) at foot plant (same as torso-pelvis angle) - using K-Vest conventions (deg),True
hitting_poi,x_factor_fp_y,float64,5.7071,x-factor angle (y) at foot plant (same as torso-pelvis angle) - using K-Vest conventions (deg),True
hitting_poi,x_factor_fp_z,float64,-18.952,x-factor angle (z) at foot plant (same as torso-pelvis angle) - using K-Vest conventions (deg),True
hitting_poi,bat_max_x,float64,597.5685,maximum bat angular velocity relative to the lab - used for tagging handedness (deg/sec),True
