session_swing,session_mass_lbs,session_height_in,athlete_age,highest_playing_level,hitter_side,bat_weight_oz,bat_length_in,bat_speed_mph_max_x,blast_bat_speed_mph_x,exit_velo_mph_x,user,session
6_1,209.0,72.0,23,milb,R,31.0,34.0,66.9317,67.0,,000005,000006
6_2,209.0,72.0,23,milb,R,31.0,34.0,67.5289,72.5,,000005,000006
6_3,209.0,72.0,23,milb,R,31.0,34.0,68.2407,68.6,,000005,000006
6_4,209.0,72.0,23,milb,R,31.0,34.0,67.5669,70.5,,000005,000006
6_5,209.0,72.0,23,milb,R,31.0,34.0,68.0812,68.2,,000005,000006
8_1,197.0,73.0,25,milb,L,31.5,34.0,65.0445,,94.2,000174,000008
8_2,197.0,73.0,25,milb,L,31.5,34.0,66.4028,,94.7,000174,000008
8_3,197.0,73.0,25,milb,L,31.5,34.0,66.337,,97.0,000174,000008
8_4,197.0,73.0,25,milb,L,31.5,34.0,68.7712,,97.1,000174,000008
8_5,197.0,73.0,25,milb,L,31.5,34.0,70.3682,,95.3,000174,000008
17_1,179.0,67.0,21,milb,R,31.0,34.0,70.5241,73.2,96.5,000059,000017
17_2,179.0,67.0,21,milb,R,31.0,34.0,67.4617,72.8,97.0,000059,000017
17_3,179.0,67.0,21,milb,R,31.0,34.0,68.4308,73.3,97.4,000059,000017
17_4,179.0,67.0,21,milb,R,31.0,34.0,69.7295,72.7,98.2,000059,000017
17_5,179.0,67.0,21,milb,R,31.0,34.0,69.4476,72.8,97.8,000059,000017
21_1,197.0,68.0,21,college,R,30.0,33.0,66.0905,67.4,84.2,000092,000021
21_2,197.0,68.0,21,college,R,30.0,33.0,62.4813,48.1,85.8,000092,000021
21_3,197.0,68.0,21,college,R,30.0,33.0,68.7228,68.4,86.5,000092,000021
21_4,197.0,68.0,21,college,R,30.0,33.0,68.1827,68.9,90.3,000092,000021
21_5,197.0,68.0,21,college,R,30.0,33.0,64.1874,71.1,83.1,000092,000021
23_1,158.0,70.0,20,college,L,30.0,33.0,58.7368,59.7,82.1,000109,000023
23_2,158.0,70.0,20,college,L,30.0,33.0,60.8459,60.7,82.5,000109,000023
23_3,158.0,70.0,20,college,L,30.0,33.0,59.8086,59.8,80.2,000109,000023
23_4,158.0,70.0,20,college,L,30.0,33.0,60.2192,61.0,79.4,000109,000023
23_5,158.0,70.0,20,college,L,30.0,33.0,59.554,60.9,84.5,000109,000023
24_1,212.0,73.0,19,college,R,31.0,34.0,68.4138,71.0,95.5,000116,000024
24_2,212.0,73.0,19,college,R,31.0,34.0,67.8255,71.7,95.5,000116,000024
24_3,212.0,73.0,19,college,R,31.0,34.0,67.8871,74.5,92.4,000116,000024
24_4,212.0,73.0,19,college,R,31.0,34.0,68.6049,69.7,92.5,000116,000024
24_5,212.0,73.0,19,college,R,31.0,34.0,68.6981,71.1,98.8,000116,000024
25_1,148.0,68.0,19,college,R,30.0,33.0,57.6494,63.8,80.9,000123,000025
25_2,148.0,68.0,19,college,R,30.0,33.0,57.9052,64.5,81.2,000123,000025
25_3,148.0,68.0,19,college,R,30.0,33.0,57.1854,62.6,78.8,000123,000025
25_4,148.0,68.0,19,college,R,30.0,33.0,57.0072,66.9,82.5,000123,000025
25_5,148.0,68.0,19,college,R,30.0,33.0,55.7922,71.7,80.0,000123,000025
33_1,190.0,72.0,24,college,R,31.0,34.0,67.8606,71.2,96.1,000139,000033
33_2,190.0,72.0,24,college,R,31.0,34.0,64.7291,,90.1,000139,000033
33_3,190.0,72.0,24,college,R,31.0,34.0,67.5595,69.7,90.5,000139,000033
33_4,190.0,72.0,24,college,R,31.0,34.0,68.8345,67.3,89.1,000139,000033
