session_swing,pitch,strike_zone,la,dist,res,bearing,vertical_distance,horizontal_distance,poi_x,poi_y,poi_z,pitch_angle
103_1,57.8,8.0,5,123, 1B-7,-22,-4.4,2.2,-2.16,28.02,18.43,-7.0
103_2,57.9,9.0,3,81, 6-3,-15,-6.8,2.9,-3.67,24.45,9.8,-7.2
103_3,57.1,5.0,28,341, F8,1,2.6,0.1,-0.77,33.68,7.4,-6.4
103_4,58.7,3.0,22,275, F8,9,4.8,3.6,-4.2,35.8,5.66,-5.8
103_5,57.9,5.0,33,365, F8,-5,0.1,-0.8,0.84,32.45,17.9,-6.5
108_1,53.6,1.0,8,115, 1B-8,3,9.2,-3.3,0.0,0.0,0.0,-5.4
108_2,54.6,5.0,3,67, 6-3,-21,-1.0,-1.7,2.11,26.49,23.36,-6.5
108_3,53.5,5.0,14,152, F6,-19,1.3,0.3,0.13,29.24,27.37,-6.2
108_4,54.9,4.0,-13,10, 4-3,9,-2.3,-6.2,6.06,24.09,13.47,-6.5
108_5,53.4,1.0,5,87, 5-3,-36,6.0,-3.7,0.0,0.0,0.0,-6.4
108_6,55.4,8.0,2,48, 1B-8,-5,-4.7,-1.5,1.57,22.29,18.29,-7.1
108_7,53.3,5.0,1,49, 6-3,-27,-1.0,0.4,0.21,26.86,25.5,-6.9
108_8,52.9,9.0,7,92, 6-3,-27,-3.8,3.0,0.0,0.0,0.0,-7.5
118_1,56.0,1.0,17,262, F8,5,5.1,-8.4,8.5,35.77,21.32,-6.7
118_2,56.0,1.0,-1,44, 6-3,-15,3.1,-4.2,4.36,33.85,21.96,-6.8
118_3,57.0,1.0,19,269, F8,7,3.2,-3.7,3.82,33.72,20.82,-6.4
118_4,58.5,2.0,24,274, F9,25,3.8,-1.3,1.2,33.71,14.82,-6.2
118_5,56.6,3.0,12,226, 1B-8,-5,3.7,3.0,-2.83,34.45,21.82,-6.9
118_6,57.6,6.0,-4,25, 1B-7,-31,-2.3,7.8,-7.21,29.17,27.47,-7.6
118_7,0.0,,26,271, 2B-8,17,-30.1,0.0,0.0,0.0,0.0,0.0
118_8,56.2,5.0,8,144, 1B-7,-26,2.2,0.5,0.3,34.4,33.29,-7.2
125_1,56.7,11.0,33,324, F9,29,9.2,2.2,-1.65,41.87,33.45,-6.0
125_2,58.1,2.0,27,344, F8,4,5.7,2.4,-2.12,37.52,24.8,-6.3
125_3,57.8,2.0,21,304, 2B-8,17,8.1,1.6,-1.34,39.97,26.0,-5.9
125_4,57.9,2.0,16,295, 2B-8,12,5.0,2.7,-2.3,36.85,24.93,-6.2
125_5,59.2,6.0,-4,27, 4-3,21,-0.6,2.9,-3.01,31.55,27.18,-6.8
125_6,57.6,2.0,50,279, F8,12,4.0,0.9,-0.35,36.38,30.32,-6.4
