session_swing,session,exit_velo_mph_x,blast_bat_speed_mph_x,bat_speed_mph_contact_x,sweet_spot_velo_mph_contact_x,sweet_spot_velo_mph_contact_y,sweet_spot_velo_mph_contact_z,bat_torso_angle_connection_x,attack_angle_contact_x,bat_speed_mph_max_x,bat_speed_xy_max_x,bat_torso_angle_ds_x,bat_torso_angle_ds_y,bat_torso_angle_ds_z,hand_speed_blast_bat_mph_max_x,hand_speed_mag_max_x,pelvis_angle_fm_x,pelvis_angle_fm_y,pelvis_angle_fm_z,pelvis_angle_fp_x,pelvis_angle_fp_y,pelvis_angle_fp_z,pelvis_angle_hs_x,pelvis_angle_hs_y,pelvis_angle_hs_z,torso_angle_fm_x,torso_angle_fm_y,torso_angle_fm_z,torso_angle_fp_x,torso_angle_fp_y,torso_angle_fp_z,torso_angle_hs_x,torso_angle_hs_y,torso_angle_hs_z,upper_arm_speed_mag_max_x,x_factor_fm_x,x_factor_fm_y,x_factor_fm_z,x_factor_fp_x,x_factor_fp_y,x_factor_fp_z,bat_max_x,bat_min_x,hand_speed_mag_fm_x,hand_speed_mag_fp_x,hand_speed_mag_maxhss_x,hand_speed_mag_seq_max_x,hand_speed_mag_stride_max_velo_x,hand_speed_mag_swing_max_velo_x,lead_knee_launchpos_x,lead_knee_stride_max_x,lead_wrist_fm_x,lead_wrist_swing_max_x,pelvis_angular_velocity_fm_x,pelvis_angular_velocity_fp_x,pelvis_angular_velocity_maxhss_x,pelvis_angular_velocity_seq_max_x,pelvis_angular_velocity_stride_max_x,pelvis_angular_velocity_swing_max_x,pelvis_fm_x,pelvis_fm_y,pelvis_fm_z,pelvis_launchpos_x,pelvis_launchpos_y,pelvis_launchpos_z,pelvis_loadedpos_x,pelvis_load_max_x,pelvis_stride_max_x,pelvis_stride_max_y,pelvis_stride_max_z,pelvis_swing_max_x,pelvis_swing_max_y,pelvis_swing_max_z,rear_elbow_fm_x,rear_elbow_fm_z,rear_elbow_launchpos_x,rear_elbow_stride_max_x,rear_elbow_stride_max_z,rear_elbow_swing_max_x,rear_elbow_swing_max_z,rear_hip_launchpos_x,rear_hip_stride_max_x,rear_hip_stride_max_y,rear_hip_stride_max_z,rear_shoulder_launchpos_x,rear_shoulder_stride_max_x,rear_shoulder_stride_max_y,rear_shoulder_stride_max_z,torso_angular_velocity_fm_x,torso_angular_velocity_fp_x,torso_angular_velocity_maxhss_x,torso_angular_velocity_stride_max_x,torso_angular_velocity_seq_max_x,torso_angular_velocity_swing_max_x,torso_fm_x,torso_fm_y,torso_fm_z,torso_launchpos_x,torso_launchpos_y,torso_launchpos_z,torso_loadedpos_x,torso_load_max_x,torso_pelvis_fm_x,torso_pelvis_launchpos_x,torso_pelvis_loadedpos_x,torso_pelvis_load_max_x,torso_pelvis_stride_max_x,torso_pelvis_stride_max_y,torso_pelvis_stride_max_z,torso_pelvis_swing_max_x,torso_stride_max_x,torso_stride_max_y,torso_stride_max_z,torso_swing_max_x,torso_swing_max_y,torso_swing_max_z,upper_arm_speed_mag_fm_x,upper_arm_speed_mag_fp_x,upper_arm_speed_mag_maxhss_x,upper_arm_speed_mag_seq_max_x,upper_arm_speed_mag_stride_max_velo_x,upper_arm_speed_mag_swing_max_velo_x,x_factor_hs_x,x_factor_hs_y,x_factor_hs_z,max_cog_velo_x
103_1,103,97.2,66.8,67.9426,67.5411,1.1177,6.404,121.0109,5.7984,69.2154,2529.2776,-121.3557,121.0109,101.554,23.0841,1527.4279,26.7272,3.989,-20.0787,28.8512,4.1585,13.434,27.0634,4.7819,-21.0498,27.9432,-15.0864,-13.006,21.8904,-0.0221,-5.8966,28.8937,-15.0236,-12.118,987.9657,-0.0808,-20.1757,-2.4765,6.723,5.7071,-18.952,597.5685,32.7952,100.3058,529.3574,848.9559,1527.4279,529.3574,1527.4279,31.665,100.3434,23.0732,-12.31,31.8693,580.7448,733.0911,733.6451,580.7448,733.6451,-26.7272,3.989,-110.0787,-28.8512,4.1585,-76.566,-100.4105,-98.1193,-28.8512,10.6588,-111.1967,-1.8499,10.6588,11.3636,132.2291,67.3961,121.7515,143.6237,77.7509,143.6237,83.4073,54.4718,57.1879,-4.2861,37.7659,51.7001,11.0415,89.5564,11.7063,-20.5107,453.0682,748.4769,453.0682,775.7749,775.7749,-27.9432,-15.0864,-103.006,-21.8904,-0.0221,-95.8966,-97.7734,-97.5618,-2.4765,-18.952,-4.3548,-4.9252,-3.1422,-25.0935,-18.952,-20.5898,-29.9237,-15.0887,-104.0084,19.9394,25.5588,6.2796,77.2077,281.0329,449.7435,987.9657,290.3699,987.9657,-0.7814,-21.659,-1.2444,1.241
103_2,103,88.8,65.0,66.0435,65.8729,-3.0676,0.6329,124.9791,0.2952,66.0435,2446.7554,-119.2728,124.9791,103.9509,21.8076,1534.3438,26.9757,5.0393,-20.864,28.1628,5.7143,12.9408,26.7024,5.7583,-21.4558,31.1782,-15.3465,-10.6443,23.28,3.3841,-2.5743,31.5994,-15.4014,-10.1708,954.0788,-3.2101,-22.7568,-0.3008,5.4448,5.3509,-14.7395,566.0178,30.6964,103.3457,666.2502,1007.8548,1534.3438,666.2502,1534.3438,29.4649,97.6379,21.058,-14.2347,22.8551,662.043,763.8076,799.8748,662.043,799.8748,-26.9757,5.0393,-110.864,-28.1628,5.7143,-77.0592,-99.8969,-94.7911,-28.7185,10.847,-111.5041,0.5793,10.847,6.8011,130.4064,68.9484,120.0105,142.3064,80.6076,142.3064,83.9452,53.0107,57.1707,1.1052,23.4319,41.3646,9.482,85.9748,10.4486,-24.858,544.7551,772.8221,544.7551,775.3766,775.3766,-31.1782,-15.3465,-100.6443,-23.28,3.3841,-92.5743,-95.4959,-89.2476,-0.3008,-14.7395,-3.3122,-4.9621,-5.4843,-24.2292,-14.7395,-17.2607,-31.9629,-15.4051,-102.3937,18.4077,26.8574,0.7972,92.8467,290.6041,750.2727,954.0788,290.6041,954.0788,-4.0256,-23.9262,0.4528,1.063
103_3,103,88.9,69.2,64.4315,63.6625,-2.799,8.872,122.6542,7.9991,65.0387,2414.5054,-123.0231,122.6542,96.382,21.7983,1497.3859,27.2558,4.4828,-21.6898,28.77,4.7085,5.3018,27.371,4.6939,-22.0987,29.7886,-13.6969,-11.4708,21.6524,-2.0013,-8.5265,30.2919,-13.6585,-10.9077,946.217,-1.8222,-20.8064,0.6685,7.3356,0.8427,-15.3358,570.0401,31.3184,104.5929,350.3484,890.1191,1497.3859,350.3484,1497.3859,32.3625,99.4017,20.5818,-12.3569,25.709,566.7064,691.6713,740.7065,566.7064,740.7065,-27.2558,4.4828,-111.6898,-28.77,4.7085,-84.6982,-97.5319,-95.5899,-28.77,10.1093,-112.2104,-4.7272,10.1093,16.4381,133.8937,64.1856,126.6287,144.2281,79.5643,144.2281,93.529,56.9804,57.5448,0.0988,14.6771,54.329,11.0105,90.1442,8.8147,-27.042,346.5662,706.6226,346.5662,793.0441,793.0441,-29.7886,-13.6969,-101.4708,-21.6524,-2.0013,-98.5265,-96.5614,-95.4269,0.6685,-15.3358,-5.8104,-6.8163,-3.8251,-23.9182,-15.3358,-22.1448,-30.7297,-13.6998,-103.8173,20.5324,22.3541,8.0233,74.8778,310.8151,563.1157,946.217,328.5782,946.217,-2.3038,-21.4059,1.441,0.9009
103_4,103,83.1,58.5,60.6261,60.1218,-7.096,0.0053,119.3526,-0.0462,60.9263,2368.4109,-119.9736,119.3526,102.0497,21.6192,1400.993,24.0588,4.1786,-21.9933,26.7967,4.6963,9.5045,24.3766,4.8535,-22.9693,27.2022,-14.8786,-13.9314,18.9963,-2.7502,-6.9685,28.6811,-14.3946,-11.9492,1168.1498,-2.2802,-20.6561,-0.5538,7.9568,0.8578,-18.045,594.0486,40.3943,101.8801,521.3099,794.5302,1400.993,521.3099,1400.993,31.8174,100.5227,19.9021,-24.3958,34.4844,599.8861,738.2913,741.3719,599.8861,741.3719,-24.0588,4.1786,-111.9933,-26.7967,4.6963,-80.4955,-99.7157,-94.6731,-26.7967,10.839,-112.9984,-1.733,10.839,11.966,131.5395,63.8642,121.2311,141.3732,75.6018,141.3732,81.762,52.331,53.9177,4.7741,20.3225,49.7861,9.1131,82.9458,13.3154,-45.5834,448.8255,744.0462,448.8255,819.989,819.989,-27.2022,-14.8786,-103.9314,-18.9963,-2.7502,-96.9685,-94.397,-91.9067,-0.5538,-18.045,-3.4141,-5.3445,-4.7755,-24.3581,-18.045,-19.8929,-29.8584,-14.9206,-105.4537,21.9634,19.0992,11.2618,85.7633,307.7093,490.141,1168.1498,307.7093,1168.1498,-3.7714,-22.0439,2.0529,1.0811
103_5,103,91.6,68.2,65.2323,64.3499,-0.7677,10.0294,125.0015,8.7967,66.0698,2463.9858,-123.3507,125.0015,98.0823,22.2666,1548.1466,26.7934,4.5199,-18.2924,28.7368,5.5962,20.7934,26.6614,4.4685,-18.7306,27.2577,-14.7827,-12.9595,18.2476,3.9132,0.509,27.9073,-14.8759,-12.321,971.8425,0.7428,-19.5899,-4.1789,10.8327,8.383,-18.5346,579.2241,30.4525,100.5079,669.1878,946.7567,1548.1466,669.1878,1548.1466,31.4386,101.2391,23.7804,-10.7517,38.5476,685.0115,746.9558,770.495,685.0115,770.495,-26.7934,4.5199,-108.2924,-28.7368,5.5962,-69.2066,-96.0715,-91.5353,-29.1879,10.2452,-108.7377,-3.495,10.2452,13.3211,130.8827,64.4319,120.0408,141.0221,79.7002,141.0221,83.7693,45.7573,54.5878,2.3418,26.1572,42.1678,9.8056,89.9265,7.5585,-16.2846,587.9257,760.023,587.9257,774.5865,774.5865,-27.2577,-14.7827,-102.9595,-18.2476,3.9132,-89.491,-92.6302,-90.3263,-4.1789,-18.5346,-4.2813,-5.1993,-4.1968,-24.3613,-18.5346,-20.413,-29.9309,-14.8906,-103.8471,18.3316,21.1948,1.3929,81.9216,308.4311,594.705,971.8425,328.8853,971.8425,-0.0914,-20.1222,-3.1753,1.2792
107_1,107,82.5,66.5,65.1026,64.2951,0.9001,9.7812,110.3283,8.6758,66.7422,2470.8689,-93.5807,110.3283,-4.244,21.8069,1793.9623,10.2915,5.3018,-35.2734,11.8936,4.7516,6.6429,12.0117,7.4652,-38.375,28.3771,-5.2905,-36.455,30.8166,10.8812,-17.2677,25.4894,-5.4321,-37.0474,1174.6458,-17.8044,-10.2115,-3.0933,-17.7716,11.1412,-21.8995,536.9337,47.2444,100.7629,640.5185,602.4678,1793.9623,640.5185,1793.9623,33.5389,86.648,17.9906,-11.4396,116.1057,557.431,547.3828,658.5869,557.431,658.5869,-10.2915,5.3018,-125.2734,-11.8936,4.7516,-83.3571,-105.0947,-97.2812,-14.5271,10.9741,-128.411,15.2274,12.3755,-17.5307,125.5754,82.146,126.6363,126.6363,94.9252,127.0987,104.3215,39.8319,49.1367,-6.2436,28.7456,26.4655,13.8746,57.8793,14.0488,22.1028,618.5818,594.7732,618.5818,819.1088,819.1088,-28.3771,-5.2905,-126.455,-30.8166,10.8812,-107.2677,-107.9253,-102.3698,-3.0933,-21.8995,-5.3177,-7.3052,-18.0561,-15.2235,-21.9209,-21.9209,-32.2957,-5.5492,-127.0855,18.9197,37.6327,-15.0603,19.4983,683.0929,639.78,1174.6458,683.0929,1174.6458,-13.3431,-12.8902,-1.4037,1.009
107_2,107,87.6,62.9,62.5607,61.9744,-3.8984,7.4513,106.9362,7.097,63.7714,2581.6431,-95.1653,106.9362,16.6631,21.5328,1906.4379,11.7742,4.7548,-26.2072,12.6434,4.6032,5.2394,10.5167,7.7309,-36.4819,28.1826,-3.7423,-35.0663,27.2724,8.5361,-18.6581,25.8959,-6.1869,-35.8957,1273.5005,-15.7422,-6.4393,-10.4532,-13.6634,9.2693,-22.2968,652.9626,44.6554,102.6457,546.5657,546.5657,1906.4379,546.5657,1906.4379,36.0948,91.4445,15.4479,-15.2941,276.9924,562.6266,562.6266,663.0507,562.6266,663.0507,-11.7742,4.7548,-116.2072,-12.6434,4.6032,-84.7606,-109.7054,-99.6944,-14.4066,12.7025,-126.4909,15.7996,12.7025,-13.1192,125.1922,86.9638,128.1612,128.1612,97.2575,131.3838,108.56,41.2088,49.5319,1.6,31.0086,30.0506,16.2837,54.024,15.0104,89.9592,596.394,596.394,596.394,847.5706,847.5706,-28.1826,-3.7423,-125.0663,-27.2724,8.5361,-108.6581,-111.433,-104.6311,-10.4532,-22.2968,-3.7572,-6.21,-17.6993,-16.792,-22.2968,-22.2968,-29.0518,-6.2042,-126.4127,23.9082,32.28,-8.0588,83.3172,609.2665,609.2665,1273.5005,609.2665,1273.5005,-15.1446,-13.7885,-2.0003,1.0992
107_3,107,84.3,64.2,61.8779,58.9437,6.6116,17.7646,108.3064,16.7617,63.4866,2498.7456,-96.085,108.3064,-38.4737,21.5733,1824.679,9.7212,5.7322,-34.1544,12.7257,4.4113,3.9404,9.4748,7.6507,-37.2877,27.6852,-3.1567,-38.1238,28.155,10.7714,-20.6378,26.7555,-3.947,-37.7328,1240.8903,-17.4864,-8.0692,-5.4589,-14.4498,11.8047,-22.3847,662.7953,45.2443,101.7798,436.7993,601.9783,1824.679,436.7993,1824.679,39.0782,92.9894,14.697,-12.4627,150.6731,626.7899,644.8478,645.323,626.7899,645.323,-9.7212,5.7322,-124.1544,-12.7257,4.4113,-86.0596,-106.6185,-98.341,-13.4612,12.6275,-127.3071,14.0146,12.6275,-8.6177,125.9949,85.0213,127.8118,127.8118,93.8739,131.1215,106.3722,41.5513,48.9968,-1.1849,31.379,37.3866,13.6262,56.4677,14.5229,21.9943,576.1834,665.8068,576.1834,831.1612,831.1612,-27.6852,-3.1567,-128.1238,-28.155,10.7714,-110.6378,-109.1379,-104.0037,-5.4589,-22.3847,-4.8317,-7.5181,-18.0161,-16.6501,-22.3847,-22.9682,-28.9663,-4.456,-128.1654,27.7068,36.4855,-1.6768,60.189,447.0351,612.9274,1240.8903,447.0351,1240.8903,-17.0281,-11.363,-2.3833,1.0451
107_4,107,89.6,63.4,62.8748,60.7049,0.4426,15.8991,104.5277,14.7102,63.7012,2524.3625,-95.7063,104.5277,9.7367,22.9178,2040.3273,13.3834,3.7007,-21.5858,15.9119,4.0995,3.5103,11.2095,8.5386,-40.763,29.3985,-2.2953,-33.7155,30.9695,7.8652,-20.8596,25.6985,-4.2793,-36.9344,1271.6317,-15.5341,-2.9603,-13.2064,-14.5212,10.4393,-22.3035,661.6451,49.0582,102.1572,376.5987,500.0265,2040.3273,376.5987,2040.3273,36.1648,91.1873,12.5748,-13.7228,367.4013,545.2458,569.887,638.0104,545.2458,638.0104,-13.3834,3.7007,-111.5858,-15.9119,4.0995,-86.4897,-108.0452,-98.5523,-15.9119,14.0579,-130.7913,15.7937,14.0579,-6.1779,124.9651,83.7875,127.6774,127.6774,94.5959,132.2029,106.9851,45.5937,50.1281,-2.2135,26.5322,35.6117,13.2423,59.085,12.1435,135.7385,509.4192,586.1815,509.4192,826.9186,826.9186,-29.3985,-2.2953,-123.7155,-30.9695,7.8652,-110.8596,-109.8926,-104.9139,-13.2064,-22.3035,-4.8572,-7.1419,-15.7426,-17.7618,-22.3035,-22.6474,-31.1441,-4.3331,-127.2336,27.3969,37.9982,-0.9955,48.062,391.5694,530.8931,1271.6317,391.5694,1271.6317,-14.7854,-13.3113,1.3102,1.0451
107_5,107,79.3,61.5,63.2287,62.1473,-6.2013,9.0616,110.059,8.3116,64.1178,2528.4856,-94.7602,110.059,178.9589,21.5548,1850.3663,11.5271,5.27,-37.3068,14.072,4.8696,1.646,11.693,8.7312,-41.623,28.6215,-3.8408,-38.2399,28.8158,10.4048,-21.0619,27.13,-4.6179,-38.0693,1321.8082,-16.8711,-8.7432,-2.7626,-13.6631,11.0633,-20.4778,628.5395,46.7084,104.9966,489.642,553.1762,1850.3663,489.642,1850.3663,35.2705,94.9796,19.3508,-14.5386,148.3027,583.1288,590.3632,638.1981,583.1288,638.1981,-11.5271,5.27,-127.3068,-14.072,4.8696,-88.354,-110.0446,-98.7763,-15.0266,13.6951,-131.6967,16.7376,13.6951,-13.165,124.9135,84.6948,129.7676,129.7676,92.609,132.647,108.4422,42.9332,49.624,-1.874,26.5794,34.9026,10.1273,56.1147,16.1308,13.9312,585.1024,628.9647,585.1024,849.0588,849.0588,-28.6215,-3.8408,-128.2399,-28.8158,10.4048,-111.0619,-112.0868,-103.4498,-2.7626,-20.4778,-4.4894,-7.2437,-16.8918,-17.5222,-20.4778,-20.5393,-29.8685,-4.6243,-128.3112,27.206,35.1924,-6.1526,40.7778,540.2414,617.849,1321.8082,540.2414,1321.8082,-15.6633,-13.7878,0.8126,1.009
