dataset,column,dtype,example,description,documented
pitching_poi,session_pitch,str,1031_2,unique pitch ID,True
pitching_poi,session,int64,1031,unique session ID,True
pitching_poi,p_throws,str,R,pitcher handedness,True
pitching_poi,pitch_type,str,FF,pitch type,True
pitching_poi,pitch_speed_mph,float64,90.4,pitch speed (miles per hour),True
pitching_poi,max_shoulder_internal_rotational_velo,float64,4533.248,peak shoulder internal rotation velocity (deg/s),True
pitching_poi,max_elbow_extension_velo,float64,2445.8177,peak elbow extension velocity (deg/s),True
pitching_poi,max_torso_rotational_velo,float64,958.0878,peak torso axial rotation (Z) velocity (deg/s),True
pitching_poi,max_rotation_hip_shoulder_separation,float64,32.3152,peak separation between thorax and pelvis (deg),True
pitching_poi,max_elbow_flexion,float64,109.9971,peak elbow flexion angle (deg),True
pitching_poi,max_shoulder_external_rotation,float64,162.348,peak shoulder external rotation (layback) (deg),True
pitching_poi,elbow_flexion_fp,float64,86.3476,elbow flexion angle at foot plant (deg),True
pitching_poi,elbow_pronation_fp,float64,13.8688,wrist pronation angle at foot plant (deg),True
pitching_poi,rotation_hip_shoulder_separation_fp,float64,31.5769,hip-shoulder separation angle at foot plant (deg),True
pitching_poi,shoulder_horizontal_abduction_fp,float64,53.7302,shoulder horizontal abduction angle at foot plant (deg),True
pitching_poi,shoulder_abduction_fp,float64,88.9089,shoulder abduction angle at foot plant (deg),True
pitching_poi,shoulder_external_rotation_fp,float64,12.406,shoulder external rotation angle at foot plant (deg),True
pitching_poi,lead_knee_extension_angular_velo_fp,float64,160.4524,lead knee extension angular velocity at foot plant (deg/s),True
pitching_poi,lead_knee_extension_angular_velo_br,float64,449.407,lead knee extension angular velocity at ball release (deg/s),True
pitching_poi,lead_knee_extension_angular_velo_max,float64,452.7888,peak knee extension angular velocity (deg/s),True
pitching_poi,torso_anterior_tilt_fp,float64,-2.6113,trunk flexion at foot plant (deg),True
pitching_poi,torso_lateral_tilt_fp,float64,-7.0313,trunk lateral flexion at foot plant (deg),True
pitching_poi,torso_rotation_fp,float64,0.3425,trunk axial rotation at foot plant (deg),True
pitching_poi,pelvis_anterior_tilt_fp,float64,8.2744,pelvis anterior tilt at foot plant (deg),True
pitching_poi,pelvis_lateral_tilt_fp,float64,-1.7844,pelvis lateral tilt at foot plant (deg),True
pitching_poi,pelvis_rotation_fp,float64,31.7105,pelvis axial rotation at foot plant (deg),True
pitching_poi,max_cog_velo_x,float64,3.3113,peak center of gravity velocity towards home plate (m/s),True
pitching_poi,torso_rotation_min,float64,-21.1062,peak torso counterrotation angle (deg),True
pitching_poi,max_pelvis_rotational_velo,float64,609.9531,peak pelvis axial rotation angular velocity (deg/s),True
pitching_poi,glove_shoulder_horizontal_abduction_fp,float64,38.3919,glove shoulder horizontal abduction angle at foot plant (deg),True
pitching_poi,glove_shoulder_abduction_fp,float64,85.9397,glove shoulder abduction angle at foot plant (deg),True
pitching_poi,glove_shoulder_external_rotation_fp,float64,-46.638,glove shoulder external rotation angle at foot plant (deg),True
pitching_poi,glove_shoulder_abduction_mer,float64,45.497,glove shoulder abduction angle at maximum external rotation (deg),True
pitching_poi,elbow_flexion_mer,float64,93.9717,elbow flexion angle at maximum external rotation (deg),True
pitching_poi,torso_anterior_tilt_mer,float64,16.9991,trunk flexion at maximum external rotation (deg),True
pitching_poi,torso_lateral_tilt_mer,float64,22.1885,trunk lateral flexion at maximum external rotation (deg),True
pitching_poi,torso_rotation_mer,float64,99.4708,trunk axial rotation at maximum external rotation (deg),True
