user,session,session_pitch,session_mass_kg,session_height_m,age_yrs,playing_level,pitch_speed_mph,filename_new,modelname_new
750,1031,1031_2,110.6784,1.9304,21.4,college,90.4,000750_001031_76_244_013_FF_904.c3d,000750_001031_model.c3d
750,1031,1031_3,110.6784,1.9304,21.4,college,90.4,000750_001031_76_244_014_FF_904.c3d,000750_001031_model.c3d
774,1097,1097_1,101.1528,1.9304,19.41,college,77.6,000774_001097_76_223_001_FF_776.c3d,000774_001097_model.c3d
774,1097,1097_2,101.1528,1.9304,19.41,college,77.0,000774_001097_76_223_005_FF_770.c3d,000774_001097_model.c3d
774,1097,1097_3,101.1528,1.9304,19.41,college,76.1,000774_001097_76_223_006_FF_761.c3d,000774_001097_model.c3d
653,1170,1170_1,82.1016,1.9304,20.52,college,80.9,000653_001170_76_181_001_FF_809.c3d,000653_001170_model.c3d
653,1170,1170_2,82.1016,1.9304,20.52,college,82.6,000653_001170_76_181_002_FF_826.c3d,000653_001170_model.c3d
738,1250,1250_1,78.4728,1.7526,21.49,college,88.1,000738_001250_69_173_002_FF_881.c3d,000738_001250_model.c3d
738,1250,1250_3,78.4728,1.7526,21.49,college,88.6,000738_001250_69_173_010_FF_886.c3d,000738_001250_model.c3d
789,1313,1313_1,84.3696,1.8288,19.02,college,85.8,000789_001313_72_186_006_FF_858.c3d,000789_001313_model.c3d
789,1313,1313_2,84.3696,1.8288,19.02,college,85.9,000789_001313_72_186_007_FF_859.c3d,000789_001313_model.c3d
789,1313,1313_3,84.3696,1.8288,19.02,college,85.8,000789_001313_72_186_009_FF_858.c3d,000789_001313_model.c3d
894,1346,1346_1,72.1224,1.8288,20.67,college,84.6,000894_001346_72_159_004_FF_846.c3d,000894_001346_model.c3d
894,1346,1346_2,72.1224,1.8288,20.67,college,84.5,000894_001346_72_159_012_FF_845.c3d,000894_001346_model.c3d
894,1346,1346_3,72.1224,1.8288,20.67,college,84.8,000894_001346_72_159_013_FF_848.c3d,000894_001346_model.c3d
905,1370,1370_1,104.328,1.905,23.43,independent,87.8,000905_001370_75_230_001_FF_878.c3d,000905_001370_model.c3d
905,1370,1370_2,104.328,1.905,23.43,independent,86.9,000905_001370_75_230_004_FF_869.c3d,000905_001370_model.c3d
905,1370,1370_3,104.328,1.905,23.43,independent,86.9,000905_001370_75_230_006_FF_869.c3d,000905_001370_model.c3d
906,1371,1371_2,99.3384,1.8034,25.27,milb,87.4,000906_001371_71_219_003_FF_874.c3d,000906_001371_model.c3d
906,1371,1371_3,99.3384,1.8034,25.27,milb,87.8,000906_001371_71_219_011_FF_878.c3d,000906_001371_model.c3d
919,1393,1393_1,88.9056,1.6764,23.05,independent,71.3,000919_001393_66_196_001_FF_713.c3d,000919_001393_model.c3d
919,1393,1393_2,88.9056,1.6764,23.05,independent,69.9,000919_001393_66_196_002_FF_699.c3d,000919_001393_model.c3d
919,1393,1393_3,88.9056,1.6764,23.05,independent,69.5,000919_001393_66_196_003_FF_695.c3d,000919_001393_model.c3d
920,1394,1394_1,94.3488,1.905,18.14,high_school,86.3,000920_001394_75_208_001_FF_863.c3d,000920_001394_model.c3d
920,1394,1394_2,94.3488,1.905,18.14,high_school,86.7,000920_001394_75_208_006_FF_867.c3d,000920_001394_model.c3d
920,1394,1394_3,94.3488,1.905,18.14,high_school,86.8,000920_001394_75_208_008_FF_868.c3d,000920_001394_model.c3d
927,1403,1403_1,70.308,1.778,19.1,college,78.7,000927_001403_70_155_006_FF_787.c3d,000927_001403_model.c3d
927,1403,1403_2,70.308,1.778,19.1,college,78.6,000927_001403_70_155_009_FF_786.c3d,000927_001403_model.c3d
927,1403,1403_3,70.308,1.778,19.1,college,77.9,000927_001403_70_155_011_FF_779.c3d,000927_001403_model.c3d
949,1561,1561_1,118.3896,1.9304,25.88,independent,86.0,000949_001561_76_261_003_FF_860.c3d,000949_001561_model.c3d
949,1561,1561_2,118.3896,1.9304,25.88,independent,84.6,000949_001561_76_261_004_FF_846.c3d,000949_001561_model.c3d
949,1561,1561_3,118.3896,1.9304,25.88,independent,86.0,000949_001561_76_261_005_FF_860.c3d,000949_001561_model.c3d
874,1562,1562_1,95.7096,1.8542,20.81,college,91.8,000874_001562_73_211_003_FF_918.c3d,000874_001562_model.c3d
874,1562,1562_2,95.7096,1.8542,20.81,college,90.3,000874_001562_73_211_008_FF_903.c3d,000874_001562_model.c3d
874,1562,1562_3,95.7096,1.8542,20.81,college,90.6,000874_001562_73_211_009_FF_906.c3d,000874_001562_model.c3d
952,1574,1574_1,87.0912,1.9304,21.22,college,89.8,000952_001574_76_192_006_FF_898.c3d,000952_001574_model.c3d
952,1574,1574_2,87.0912,1.9304,21.22,college,88.6,000952_001574_76_192_007_FF_886.c3d,000952_001574_model.c3d
952,1574,1574_3,87.0912,1.9304,21.22,college,89.5,000952_001574_76_192_008_FF_895.c3d,000952_001574_model.c3d
956,1581,1581_1,94.8024,1.7018,21.51,college,82.3,000956_001581_67_209_001_FF_823.c3d,000956_001581_model.c3d
956,1581,1581_2,94.8024,1.7018,21.51,college,82.3,000956_001581_67_209_002_FF_823.c3d,000956_001581_model.c3d
956,1581,1581_3,94.8024,1.7018,21.51,college,83.0,000956_001581_67_209_006_FF_830.c3d,000956_001581_model.c3d
628,1601,1601_1,103.8744,1.8542,20.87,college,86.3,000628_001601_73_229_001_FF_863.c3d,000628_001601_model.c3d
628,1601,1601_2,103.8744,1.8542,20.87,college,86.1,000628_001601_73_229_002_FF_861.c3d,000628_001601_model.c3d
628,1601,1601_3,103.8744,1.8542,20.87,college,86.2,000628_001601_73_229_004_FF_862.c3d,000628_001601_model.c3d
884,1603,1603_1,91.1736,1.7526,22.5,college,85.0,000884_001603_69_201_004_FF_850.c3d,000884_001603_model.c3d
884,1603,1603_2,91.1736,1.7526,22.5,college,85.6,000884_001603_69_201_005_FF_856.c3d,000884_001603_model.c3d
884,1603,1603_3,91.1736,1.7526,22.5,college,85.1,000884_001603_69_201_006_FF_851.c3d,000884_001603_model.c3d
625,1612,1612_1,91.1736,1.8034,19.6,college,86.4,000625_001612_71_201_009_FF_864.c3d,000625_001612_model.c3d
625,1612,1612_2,91.1736,1.8034,19.6,college,85.8,000625_001612_71_201_010_FF_858.c3d,000625_001612_model.c3d
625,1612,1612_3,91.1736,1.8034,19.6,college,84.6,000625_001612_71_201_012_FF_846.c3d,000625_001612_model.c3d
830,1615,1615_1,87.5448,1.778,22.83,college,85.4,000830_001615_70_193_005_FF_854.c3d,000830_001615_model.c3d
830,1615,1615_2,87.5448,1.778,22.83,college,84.4,000830_001615_70_193_006_FF_844.c3d,000830_001615_model.c3d
967,1620,1620_1,92.0808,1.8542,18.0,college,85.0,000967_001620_73_203_002_FF_850.c3d,000967_001620_model.c3d
967,1620,1620_3,92.0808,1.8542,18.0,college,84.6,000967_001620_73_203_010_FF_846.c3d,000967_001620_model.c3d
970,1623,1623_1,81.648,1.7526,22.87,college,85.8,000970_001623_69_180_006_FF_858.c3d,000970_001623_model.c3d
970,1623,1623_2,81.648,1.7526,22.87,college,85.7,000970_001623_69_180_007_FF_857.c3d,000970_001623_model.c3d
970,1623,1623_3,81.648,1.7526,22.87,college,85.3,000970_001623_69_180_008_FF_853.c3d,000970_001623_model.c3d
616,1665,1665_1,106.596,2.032,20.59,college,87.1,000616_001665_80_235_002_FF_871.c3d,000616_001665_model.c3d
616,1665,1665_2,106.596,2.032,20.59,college,87.3,000616_001665_80_235_003_FF_873.c3d,000616_001665_model.c3d
616,1665,1665_3,106.596,2.032,20.59,college,87.3,000616_001665_80_235_004_FF_873.c3d,000616_001665_model.c3d
986,1668,1668_1,81.648,1.8542,19.65,college,87.9,000986_001668_73_180_001_FF_879.c3d,000986_001668_model.c3d
986,1668,1668_2,81.648,1.8542,19.65,college,87.6,000986_001668_73_180_002_FF_876.c3d,000986_001668_model.c3d
986,1668,1668_3,81.648,1.8542,19.65,college,87.8,000986_001668_73_180_004_FF_878.c3d,000986_001668_model.c3d
511,1688,1688_1,106.596,1.9812,22.26,independent,93.1,000511_001688_78_235_003_FF_931.c3d,000511_001688_model.c3d
511,1688,1688_2,106.596,1.9812,22.26,independent,91.4,000511_001688_78_235_004_FF_914.c3d,000511_001688_model.c3d
922,1717,1717_1,103.4208,1.9304,20.57,college,72.0,000922_001717_76_228_002_FF_720.c3d,000922_001717_model.c3d
922,1717,1717_3,103.4208,1.9304,20.57,college,71.4,000922_001717_76_228_009_FF_714.c3d,000922_001717_model.c3d
1000,1718,1718_1,97.524,1.905,25.35,milb,91.2,001000_001718_75_215_004_FF_912.c3d,001000_001718_model.c3d
1000,1718,1718_2,97.524,1.905,25.35,milb,90.8,001000_001718_75_215_006_FF_908.c3d,001000_001718_model.c3d
1000,1718,1718_3,97.524,1.905,25.35,milb,90.8,001000_001718_75_215_007_FF_908.c3d,001000_001718_model.c3d
1003,1729,1729_1,105.6888,2.0066,24.37,independent,90.6,001003_001729_79_233_002_FF_906.c3d,001003_001729_model.c3d
1003,1729,1729_2,105.6888,2.0066,24.37,independent,90.5,001003_001729_79_233_004_FF_905.c3d,001003_001729_model.c3d
1003,1729,1729_3,105.6888,2.0066,24.37,independent,90.4,001003_001729_79_233_006_FF_904.c3d,001003_001729_model.c3d
1017,1759,1759_1,79.38,1.8034,20.74,college,83.9,001017_001759_71_175_001_FF_839.c3d,001017_001759_model.c3d
1017,1759,1759_2,79.38,1.8034,20.74,college,83.4,001017_001759_71_175_002_FF_834.c3d,001017_001759_model.c3d
1017,1759,1759_3,79.38,1.8034,20.74,college,83.5,001017_001759_71_175_004_FF_835.c3d,001017_001759_model.c3d
610,1778,1778_1,88.452,1.8034,26.95,independent,83.3,000610_001778_71_195_002_FF_833.c3d,000610_001778_model.c3d
610,1778,1778_2,88.452,1.8034,26.95,independent,83.4,000610_001778_71_195_010_FF_834.c3d,000610_001778_model.c3d
560,1779,1779_1,103.4208,2.0066,25.61,independent,83.7,000560_001779_79_228_001_FF_837.c3d,000560_001779_model.c3d
560,1779,1779_2,103.4208,2.0066,25.61,independent,85.2,000560_001779_79_228_005_FF_852.c3d,000560_001779_model.c3d
560,1779,1779_3,103.4208,2.0066,25.61,independent,83.5,000560_001779_79_228_006_FF_835.c3d,000560_001779_model.c3d
