session_pitch,session,p_throws,pitch_type,pitch_speed_mph,max_shoulder_internal_rotational_velo,max_elbow_extension_velo,max_torso_rotational_velo,max_rotation_hip_shoulder_separation,max_elbow_flexion,max_shoulder_external_rotation,elbow_flexion_fp,elbow_pronation_fp,rotation_hip_shoulder_separation_fp,shoulder_horizontal_abduction_fp,shoulder_abduction_fp,shoulder_external_rotation_fp,lead_knee_extension_angular_velo_fp,lead_knee_extension_angular_velo_br,lead_knee_extension_angular_velo_max,torso_anterior_tilt_fp,torso_lateral_tilt_fp,torso_rotation_fp,pelvis_anterior_tilt_fp,pelvis_lateral_tilt_fp,pelvis_rotation_fp,max_cog_velo_x,torso_rotation_min,max_pelvis_rotational_velo,glove_shoulder_horizontal_abduction_fp,glove_shoulder_abduction_fp,glove_shoulder_external_rotation_fp,glove_shoulder_abduction_mer,elbow_flexion_mer,torso_anterior_tilt_mer,torso_lateral_tilt_mer,torso_rotation_mer,elbow_varus_moment,shoulder_internal_rotation_moment,torso_anterior_tilt_br,torso_lateral_tilt_br,torso_rotation_br,lead_knee_extension_from_fp_to_br,cog_velo_pkh,stride_length,stride_angle,arm_slot,timing_peak_torso_to_peak_pelvis_rot_velo,max_shoulder_horizontal_abduction,shoulder_transfer_fp_br,shoulder_generation_fp_br,shoulder_absorption_fp_br,elbow_transfer_fp_br,elbow_generation_fp_br,elbow_absorption_fp_br,lead_hip_transfer_fp_br,lead_hip_generation_fp_br,lead_hip_absorption_fp_br,lead_knee_transfer_fp_br,lead_knee_generation_fp_br,lead_knee_absorption_fp_br,rear_hip_transfer_pkh_fp,rear_hip_generation_pkh_fp,rear_hip_absorption_pkh_fp,rear_knee_transfer_pkh_fp,rear_knee_generation_pkh_fp,rear_knee_absorption_pkh_fp,pelvis_lumbar_transfer_fp_br,thorax_distal_transfer_fp_br,rear_grf_x_max,rear_grf_y_max,rear_grf_z_max,rear_grf_mag_max,rear_grf_angle_at_max,lead_grf_x_max,lead_grf_y_max,lead_grf_z_max,lead_grf_mag_max,lead_grf_angle_at_max,peak_rfd_rear,peak_rfd_lead
1031_2,1031,R,FF,90.4,4533.248,2445.8177,958.0878,32.3152,109.9971,162.348,86.3476,13.8688,31.5769,53.7302,88.9089,12.406,160.4524,449.407,452.7888,-2.6113,-7.0313,0.3425,8.2744,-1.7844,31.7105,3.3113,-21.1062,609.9531,38.3919,85.9397,-46.638,45.497,93.9717,16.9991,22.1885,99.4708,141.172,135.2726,34.1093,16.9053,111.1709,10.1399,0.4643,0.8374,5.3785,39.7377,0.0223,53.8175,471.6631,72.518,8.1687,481.4378,7.0827,88.0793,48.2958,11.5949,119.5385,70.8131,74.767,32.104,130.8791,173.1504,37.6984,33.8403,111.565,88.4883,157.7995,479.8318,1019.3193,103.0399,1497.9859,1736.0368,55.7071,1278.4966,270.7849,2484.8747,2782.958,63.3501,11.6564,170.462
1031_3,1031,R,FF,90.4,4571.1735,2389.5438,969.5766,32.5547,109.1065,162.8656,88.6095,12.6106,31.2877,55.734,87.0463,18.558,300.1992,490.8747,513.3286,-4.2198,-8.5668,3.1764,5.0692,-1.2554,33.967,3.2385,-23.6528,639.6493,42.5471,85.2882,-47.7522,45.2598,93.6559,14.1951,23.5327,98.4928,144.5483,138.57,33.97,18.7871,112.8332,14.8421,0.4367,0.8316,1.1214,42.9766,0.0139,55.9667,468.4177,66.5717,9.3845,474.0084,6.4195,81.1477,65.9816,12.0415,110.9249,89.3801,67.1017,23.9261,125.1987,180.7929,40.8556,28.0193,109.613,104.7412,170.312,477.8022,989.5197,109.2064,1502.8258,1728.0176,60.2863,1436.1255,252.1999,2690.7521,3038.8913,62.3087,9.5715,183.6636
1097_1,1097,R,FF,77.6,4165.3055,2426.3029,1090.2269,33.1477,123.4752,158.8107,121.7674,30.413,31.788,47.1102,95.6806,5.7281,-176.739,318.5102,333.5518,-3.6689,-4.9416,-9.6014,9.5675,-1.9345,22.1156,2.911,-31.6853,881.157,46.9422,81.8611,-33.7316,28.7365,83.8787,31.2288,29.1355,129.9182,132.9853,129.825,45.1741,21.1152,142.5116,26.2749,0.2008,0.8133,7.946,49.1484,0.025,49.0236,307.9884,7.2968,54.3387,301.6148,7.7581,24.0842,133.6156,4.6376,106.6119,136.0782,69.9222,26.2777,56.0486,146.291,62.6569,51.9809,28.8661,25.1778,176.2563,361.839,681.3699,114.3219,1094.7686,1283.0751,58.3164,957.3923,245.4411,1767.4604,2010.5341,61.5594,4.4432,52.9333
1097_2,1097,R,FF,77.0,3832.1715,2424.0493,1105.2275,27.9286,124.6578,155.2244,124.6367,27.9551,27.9139,46.661,94.4698,12.9694,-48.8642,347.2241,350.0649,-6.4603,-5.7722,-5.8025,6.4666,-2.3519,21.9905,3.093,-35.2424,905.8575,57.4791,78.8461,-39.2897,26.9952,78.835,34.2347,30.3592,129.8158,130.6038,125.8818,49.2677,20.7396,143.7732,12.7819,0.2679,0.8388,7.3773,48.7847,0.0167,46.7557,309.2342,9.6288,69.1401,305.9263,7.4858,31.7676,104.0661,13.5031,130.8038,112.2196,66.3762,46.5019,51.1846,185.6076,118.5076,38.8029,37.4365,27.3819,156.9992,378.1253,725.3155,96.5054,1187.581,1354.715,58.7397,860.3796,280.5177,1715.1864,1864.0488,66.6789,6.4897,54.3727
1097_3,1097,R,FF,76.1,3970.7971,2497.6253,1110.485,28.9909,124.8308,156.2257,122.6406,27.6273,28.0449,47.2912,94.7843,3.1778,304.1101,434.3793,477.7753,-4.2685,-9.1403,-12.68,4.9964,-5.6639,15.3995,3.0013,-36.8358,903.8906,55.5436,79.6251,-39.5512,30.8731,80.9876,37.0189,31.3695,132.068,135.1736,126.7753,49.7819,23.5627,142.8166,32.7313,0.2143,0.8014,7.3923,52.8456,0.0139,48.8516,299.2725,7.4368,58.8081,294.6701,6.2321,25.755,123.9626,21.6465,108.4172,144.0534,77.5777,66.8752,40.0101,188.29,130.6349,34.0692,24.7034,23.0003,150.1562,355.7061,769.1282,124.8896,1214.0065,1425.2124,58.0297,1066.6047,337.4227,2120.451,2283.1749,65.9014,7.2019,106.2719
1170_1,1170,R,FF,80.9,4603.9004,2665.2126,964.559,38.4456,118.1284,155.2434,80.702,30.9239,38.4426,34.974,96.9223,15.7537,286.8244,352.1963,354.4133,3.2874,-19.6663,-14.0985,9.4998,-7.0754,24.621,2.9649,-31.1486,655.0938,35.7017,82.2324,-22.5698,21.9653,81.6845,2.5123,20.1285,95.3795,97.7745,90.3626,18.1821,19.6864,110.1178,12.6508,0.2722,0.8769,3.798,41.7719,0.0611,52.6238,303.318,32.5835,14.8336,298.6862,6.3059,70.6912,25.438,14.6184,68.8546,41.3699,28.4714,29.7146,87.1843,86.1514,71.5755,47.1823,79.1586,61.2915,132.9972,318.1516,704.2612,66.9271,1228.0333,1373.1956,62.6217,1085.0254,199.097,1900.9438,2115.2566,63.1787,12.3646,131.1992
1170_2,1170,R,FF,82.6,4747.0902,2752.6389,968.1194,37.9762,119.8693,157.7356,82.7032,28.9589,37.843,34.7562,98.797,19.3738,304.9185,272.948,304.9185,0.1223,-20.5863,-13.35,8.3577,-6.9663,24.2283,3.0202,-34.0569,674.496,37.9344,79.7856,-23.2103,22.1543,88.3996,5.0736,22.8672,93.973,101.9528,93.9619,20.3763,24.7,109.2603,10.0847,0.25,0.866,3.7214,46.557,0.0611,41.9626,312.3441,29.9486,14.5193,303.1572,6.0717,68.653,25.8094,15.5934,76.3256,40.4185,27.5984,25.3441,98.7638,93.4677,75.4176,47.1739,85.7145,64.9517,149.5599,326.8634,682.9131,89.9899,1230.0981,1365.4125,64.2463,1081.7529,124.0932,1830.1006,2069.4826,60.8269,7.3598,123.2648
1250_1,1250,L,FF,88.1,4852.751,2424.4095,1071.495,27.946,105.1611,164.4621,93.0574,15.7671,27.8401,60.086,79.8674,29.5844,147.7068,434.884,434.884,-6.2297,-2.064,-0.0784,16.0628,-3.3711,28.1034,3.2749,-19.3061,596.2473,38.9638,80.8426,-36.925,42.0896,82.7281,26.2712,34.4917,106.9009,105.4244,100.8643,44.1676,24.5103,126.5538,16.1337,0.3036,0.8323,-1.7348,42.4603,0.0472,60.4374,316.5749,42.0423,18.7957,288.13,4.6954,49.3482,66.9437,30.5636,65.5043,41.8126,60.6176,10.6896,134.3893,174.0266,38.7854,66.1891,41.2835,57.8902,100.8855,335.3706,891.2334,162.9436,1333.037,1546.4909,58.8746,976.6141,98.3359,1684.9515,1915.0647,61.2604,11.8119,62.0033
1250_3,1250,L,FF,88.6,2717.6363,2226.0331,1107.7876,30.1618,108.9582,171.7483,95.0839,16.8364,29.3176,59.5109,80.9448,37.8939,325.5773,456.2266,456.2266,-9.6286,0.2339,0.5995,14.7233,-3.5667,30.818,3.3288,-21.6152,609.4343,41.7116,81.2127,-38.5943,43.0437,82.0471,29.2643,36.8076,111.4384,107.3759,104.6043,46.1615,26.3491,129.1481,20.4489,0.3275,0.8472,-2.8191,45.6133,0.0389,60.3625,354.5257,33.8369,31.0739,348.9552,2.609,57.4843,72.06,38.8817,93.395,52.0949,59.6514,10.0959,134.6642,203.1844,53.9712,66.7109,39.1653,53.3078,89.6302,385.5996,912.3933,167.7483,1373.6878,1593.158,59.3572,1061.2568,115.9458,1741.0053,2011.1171,58.1856,11.307,79.8064
1313_1,1313,R,FF,85.8,4666.8763,2572.6068,1216.4581,39.9065,129.7098,158.2767,129.4316,11.6488,38.3033,47.7511,74.7669,28.53,-196.1545,359.6947,373.0743,-3.2954,-8.8346,-3.0643,13.9677,2.4098,34.2978,3.039,-32.115,877.133,32.2219,82.1801,-60.0176,31.5049,71.7742,20.6033,27.8295,122.4263,122.2616,118.6722,35.3804,20.8006,132.3085,11.7028,0.2183,0.8852,-4.8882,43.5096,0.0111,73.5387,284.4986,4.1384,68.2813,267.2546,11.4744,18.3509,90.2735,40.777,89.8198,53.5918,66.8816,35.0298,128.7881,171.4638,60.81,77.3428,48.1381,37.9993,69.2881,351.5167,831.1071,187.9804,1062.366,1338.9922,51.9338,1081.9318,143.6672,1956.6626,2238.3801,61.0911,5.2117,32.212
