video_frame,segment,x_m,y_m,z_m
935,l_thigh,0.331966,-0.059783,5.233117
935,r_thigh,0.177351,0.050228,5.006633
935,l_shank,0.447044,0.304009,5.539483
935,r_shank,0.230478,0.461288,5.001703
935,l_foot,0.351890,0.458419,5.982602
935,r_foot,0.226831,0.848025,5.224762
935,l_uarm,0.741322,-0.226766,5.017212
935,r_uarm,0.485426,-0.264286,4.655416
935,l_larm,0.967125,-0.208524,5.223960
935,r_larm,0.172016,-0.302784,4.732372
935,l_hand,1.234721,-0.275332,5.104199
935,r_hand,-0.110076,-0.212420,4.766528
936,l_thigh,0.320641,-0.061549,5.232416
936,r_thigh,0.151212,0.025019,5.027723
936,l_shank,0.442418,0.312492,5.535580
936,r_shank,0.230519,0.469862,5.004446
936,l_foot,0.345954,0.452484,5.983575
936,r_foot,0.229134,0.848974,5.222611
936,l_uarm,0.734655,-0.213762,5.011992
936,r_uarm,0.482496,-0.268458,4.654198
936,l_larm,0.967126,-0.186705,5.216560
936,r_larm,0.165298,-0.302947,4.730669
936,l_hand,1.237100,-0.261812,5.098759
936,r_hand,-0.114401,-0.201303,4.767507
937,l_thigh,0.351646,-0.070599,5.224675
937,r_thigh,0.156160,0.017707,5.013570
937,l_shank,0.441467,0.312785,5.531041
937,r_shank,0.231112,0.464721,4.998205
937,l_foot,0.333560,0.452884,5.982434
937,r_foot,0.225695,0.848452,5.225350
937,l_uarm,0.728187,-0.199381,5.001316
937,r_uarm,0.475817,-0.278675,4.652381
937,l_larm,0.971601,-0.160629,5.205938
937,r_larm,0.157022,-0.301892,4.734066
937,l_hand,1.229613,-0.238325,5.086417
937,r_hand,-0.120455,-0.193962,4.772532
938,l_thigh,0.336717,-0.070087,5.226147
938,r_thigh,0.162753,0.025042,5.009666
938,l_shank,0.426267,0.324368,5.532946
938,r_shank,0.226418,0.467547,5.001796
938,l_foot,0.324683,0.454167,5.977670
938,r_foot,0.224067,0.849530,5.225789
938,l_uarm,0.728266,-0.192751,4.998099
938,r_uarm,0.468186,-0.284245,4.651779
938,l_larm,0.966607,-0.135507,5.193570
938,r_larm,0.152792,-0.307268,4.739872
938,l_hand,1.230029,-0.222164,5.086988
938,r_hand,-0.116136,-0.186163,4.769140
939,l_thigh,0.333860,-0.069100,5.231557
939,r_thigh,0.147003,0.015359,5.028902
939,l_shank,0.423772,0.326522,5.525556
939,r_shank,0.227307,0.464163,5.001949
939,l_foot,0.313862,0.452424,5.980792
939,r_foot,0.224885,0.853289,5.221380
939,l_uarm,0.731669,-0.188868,4.992823
939,r_uarm,0.461267,-0.287968,4.652029
939,l_larm,0.967658,-0.112703,5.181226
939,r_larm,0.140043,-0.305164,4.751057
939,l_hand,1.230353,-0.204977,5.073920
939,r_hand,-0.120074,-0.182305,4.780030
940,l_thigh,0.346296,-0.061358,5.228187
940,r_thigh,0.154778,0.022370,5.018411
940,l_shank,0.418956,0.330052,5.523911
940,r_shank,0.229323,0.458780,5.000854
940,l_foot,0.305841,0.449488,5.978998
940,r_foot,0.224715,0.851133,5.227320
940,l_uarm,0.728109,-0.177992,4.986154
940,r_uarm,0.454338,-0.296433,4.647962
940,l_larm,0.961896,-0.087953,5.167353
940,r_larm,0.137589,-0.308555,4.757495
940,l_hand,1.228985,-0.179447,5.060366
940,r_hand,-0.118963,-0.169509,4.776256
941,l_thigh,0.350586,-0.068421,5.221931
941,r_thigh,0.180412,0.031100,4.990813
941,l_shank,0.411687,0.333294,5.521792
941,r_shank,0.232437,0.459295,4.998319
941,l_foot,0.299363,0.446271,5.973391
941,r_foot,0.222934,0.851317,5.226408
941,l_uarm,0.732278,-0.172061,4.976677
941,r_uarm,0.452643,-0.305557,4.650449
941,l_larm,0.959100,-0.072909,5.144864
941,r_larm,0.131765,-0.308544,4.762317
941,l_hand,1.220579,-0.160429,5.059731
941,r_hand,-0.120011,-0.161063,4.781607
942,l_thigh,0.346749,-0.061314,5.220543
942,r_thigh,0.180420,0.042609,4.988551
942,l_shank,0.404578,0.337456,5.512195
942,r_shank,0.225968,0.461598,5.005105
942,l_foot,0.284350,0.450403,5.972622
942,r_foot,0.223036,0.847673,5.224191
942,l_uarm,0.723772,-0.159117,4.960851
942,r_uarm,0.443242,-0.310376,4.649874
942,l_larm,0.958323,-0.044787,5.135051
942,r_larm,0.131385,-0.308190,4.767950
942,l_hand,1.227126,-0.139550,5.046288
942,r_hand,-0.119268,-0.153646,4.782743
943,l_thigh,0.337116,-0.056919,5.217046
943,r_thigh,0.148556,0.014126,5.023018
943,l_shank,0.396930,0.340054,5.514780
943,r_shank,0.226465,0.462667,5.005053
943,l_foot,0.275476,0.446907,5.970036
943,r_foot,0.220809,0.850576,5.226431
