pair,status,n_shared_raw,n_shared_after_intrinsic_filter,n_selected,n_train,n_validation,stereo_rms_px,baseline_mm,validation_rotation_median_deg,validation_rotation_p95_deg,validation_translation_median_mm,validation_translation_p95_mm
optitrack_15__optitrack_16,fit,100,84,84,67,17,0.3607967726933399,2576.132753485868,0.46923395194360396,0.8364581849714955,48.56491059055763,75.91770922327053
optitrack_15__optitrack_17,fit,62,47,47,37,10,0.32814448649698336,7371.077153683192,0.40696647655551393,0.6149339875147197,35.728790694739956,62.857267342083034
optitrack_15__optitrack_18,fit,41,41,41,32,9,0.28339869815246993,6218.90686928621,0.47717308042660717,0.9794313951583273,26.65779725452875,61.91452833030701
optitrack_15__optitrack_19,fit,26,26,26,20,6,0.21461314066061515,9897.10832542101,0.04756040468165025,0.11805372143041085,4.609350123414103,7.993192743762563
optitrack_15__optitrack_20,fit,67,57,57,45,12,0.3923055775910823,5790.739380406268,0.45508026901824783,0.5341403163117491,34.9658677254223,48.138650280927976
optitrack_15__optitrack_21,fit,43,33,33,26,7,0.36347509724369587,8323.087295480907,0.3164460631267279,0.7818543080014211,17.789955987020917,64.84378729286601
optitrack_15__optitrack_22,fit,68,67,67,53,14,0.35639672296016195,3144.230198987291,0.3841835661622748,0.8776974875107885,38.32910994052876,87.55556295008289
optitrack_16__optitrack_17,fit,83,64,64,51,13,0.3644254269108348,4796.10086620459,0.43902149717202754,0.8085246250732006,36.749227663001456,61.776577976707735
optitrack_16__optitrack_18,fit,31,24,24,19,5,0.2706245415932542,7122.794408277613,0.41732594191196476,0.89082599625622,25.378335670960336,35.102441734452185
optitrack_16__optitrack_19,fit,26,20,20,16,4,0.21446461432090072,8455.424687961642,0.046452278143793824,0.1125969264050559,2.7577409356553275,5.157775778262031
optitrack_16__optitrack_20,fit,86,71,71,56,15,0.4097079113275504,3190.695449716924,0.6557151961216923,1.3018665084865169,59.03147170784154,94.03750592213447
optitrack_16__optitrack_21,fit,63,45,45,36,9,0.4294698920251333,6319.956795340894,0.8541264198251927,1.0929713984423672,73.55354875012844,80.3270468505329
optitrack_16__optitrack_22,fit,54,46,46,36,10,0.4275051267396709,4438.327992704951,0.30893969969296,1.143283670521587,30.943320001057316,86.950946778205
optitrack_17__optitrack_18,fit,24,19,19,15,4,0.2254493518170847,9732.29827888408,0.03367625556661179,0.03919040602111604,3.1352633642870344,3.8107657254216267
optitrack_17__optitrack_19,fit,53,48,48,38,10,0.434023827924418,6534.922640000813,0.4412091654219392,1.6305532997089855,53.726709408047654,96.10979637975947
optitrack_17__optitrack_20,fit,101,88,88,70,18,0.37209432451825025,1578.408891275079,0.2982175332023056,0.6112799934917175,31.689019221509373,59.13576892025439
optitrack_17__optitrack_21,fit,97,83,83,66,17,0.4273251053960227,3508.257388350252,0.4642783221216702,1.5594264748524431,34.88411669836302,111.82418294397816
optitrack_17__optitrack_22,fit,28,23,23,18,5,0.2456815277488399,8149.386643275238,0.03988041497334422,0.42398701852283693,4.54412999058369,24.828061546136407
optitrack_18__optitrack_19,fit,24,24,24,19,5,0.21330677868939513,7540.46329892349,0.055018753296577155,0.06399399523797451,4.474911842989785,4.865919429914663
optitrack_18__optitrack_20,fit,20,20,20,16,4,0.2672263951906871,8723.906480496096,0.08326528697234267,0.1481115933057048,5.1431699031198725,16.594716273942023
optitrack_18__optitrack_21,fit,24,24,24,19,5,0.21964995231491347,8152.071195724489,0.043915573636863756,0.08408216431927495,4.478269703678005,7.277854573314201
optitrack_18__optitrack_22,fit,53,53,53,42,11,0.3049056350998093,3030.096513822238,0.36595388566783427,0.88602546858691,38.57063803055935,82.65385092280269
optitrack_19__optitrack_20,fit,40,38,38,30,8,0.46455104539117725,6908.637575622953,0.4229464955013186,1.412935612862348,57.17793631022755,104.44166980104887
optitrack_19__optitrack_21,fit,56,56,56,44,12,0.4766583044655836,3005.1819763721933,0.7439750851433751,1.1282516864948064,94.9855574035222,100.67105341713419
optitrack_19__optitrack_22,fit,26,26,26,20,6,0.2041968554870021,8292.433581467743,0.036298574826147206,0.06993972813295346,4.7031228793470685,9.580230434368357
optitrack_20__optitrack_21,fit,76,67,67,53,14,0.47712527239335284,4087.4477725533757,0.541412751401207,1.2970964530189695,34.2695082368392,99.51350763358646
optitrack_20__optitrack_22,fit,26,24,24,19,5,0.3108896450727292,6827.421935001068,0.07427847440672666,0.3458191561320193,7.613096861369634,41.73679344728188
optitrack_21__optitrack_22,fit,29,29,29,23,6,0.2794363210315334,7709.602031794045,0.2763647649249331,0.6829627305449282,15.571359192120989,63.71356182988836
edgertronic_1__edgertronic_2,insufficient_overlap,0,0,0,,,,,,,,
edgertronic_1__edgertronic_3,insufficient_overlap,5,5,5,,,,,,,,
edgertronic_1__edgertronic_4,fit,93,91,91,72,19,0.6252009215815069,1629.0148057744568,0.7853182632461805,2.151907697771814,73.84406816780684,132.01308008018088
edgertronic_2__edgertronic_3,insufficient_overlap,0,0,0,,,,,,,,
edgertronic_2__edgertronic_4,insufficient_overlap,0,0,0,,,,,,,,
edgertronic_3__edgertronic_4,insufficient_overlap,1,1,1,,,,,,,,
