camera,status,quality,model,n_detected,n_retained,n_rejected_views,opencv_rms_px,test_median_px,test_p95_px,fold_fx_cv_pct,observed_max_normalized_radius,full_frame_max_normalized_radius,fx_px,fy_px,cx_px,cy_px,distortion
optitrack_15,fit,strong,zero_square,117,107,10,0.25226083901346646,0.18921920657157898,0.4344877600669861,0.2638919496082806,0.22019024428314155,0.5918616867198083,1309.4493953020963,1309.4493953020963,598.0350690216816,348.9570281706386,"[0.0, 0.0, 0.0, 0.0, 0.0]"
optitrack_16,fit,strong,zero_square,126,108,12,0.2788517204104136,0.20750074088573456,0.50877445936203,0.18648637200718157,0.33202884977991604,0.5872065388491216,1293.8373323122107,1293.8373323122107,649.293083507575,324.48997251718805,"[0.0, 0.0, 0.0, 0.0, 0.0]"
optitrack_17,fit,strong,zero_square,125,110,10,0.2734964547744119,0.1947227120399475,0.4946992099285126,0.4525976098466711,0.2781404699435064,0.5921573139647928,1281.6851688150327,1281.6851688150327,639.4867595188348,310.2923370848322,"[0.0, 0.0, 0.0, 0.0, 0.0]"
optitrack_18,fit,strong,zero_square,57,57,0,0.2132788952029976,0.16671130061149597,0.3938230574131012,0.07595251413157637,0.19082235651390342,0.5887365812713057,1297.8705932544062,1297.8705932544062,609.3923825657563,368.07662594125765,"[0.0, 0.0, 0.0, 0.0, 0.0]"
optitrack_19,fit,strong,zero_square,62,62,0,0.27644439830483547,0.2116609364748001,0.5084766149520874,0.3932498164573867,0.2885233038120694,0.5913328594184074,1318.2101769704427,1318.2101769704427,626.7994932076759,292.0851402950846,"[0.0, 0.0, 0.0, 0.0, 0.0]"
optitrack_20,fit,strong,zero_square,116,106,10,0.3613637748792439,0.2738085091114044,0.6609382629394531,0.21137013493601614,0.2986674168697235,0.5983115954991585,1274.8525503362123,1274.8525503362123,633.8748246843296,312.04189773396644,"[0.0, 0.0, 0.0, 0.0, 0.0]"
optitrack_21,fit,strong,zero_square,108,98,10,0.30383151755757093,0.22619828581809998,0.5289686918258667,0.2658291828888212,0.3292200316715708,0.5923656146328765,1308.9021885944903,1308.9021885944903,612.0307093397167,323.62992841358783,"[0.0, 0.0, 0.0, 0.0, 0.0]"
optitrack_22,fit,strong,zero_square,80,79,1,0.25505466765864376,0.1821144074201584,0.4506828784942627,0.27422922444126135,0.3587800668553319,0.5798024012762164,1297.2418598028867,1297.2418598028867,622.6938964577492,351.5999278994913,"[0.0, 0.0, 0.0, 0.0, 0.0]"
edgertronic_1,fit,strong,zero_square,97,95,2,0.25151445809332657,0.19049715995788574,0.44412147998809814,0.16769167199894466,0.2929968663591753,0.5019996231282947,1733.7625428214865,1733.7625428214865,691.3969343433513,494.3449429340349,"[0.0, 0.0, 0.0, 0.0, 0.0]"
edgertronic_2,fit,strong,zero_square,56,55,1,0.2526149764695638,0.18316750228405,0.46493393182754517,0.06744941100764403,0.23673970245046785,0.47904400919418744,1810.8083075477439,1810.8083075477439,684.3229836677566,489.9113788605606,"[0.0, 0.0, 0.0, 0.0, 0.0]"
edgertronic_3,fit,strong,zero_square,66,65,1,0.2602810255443492,0.1937427818775177,0.4923674762248993,0.7086761304907563,0.3373697547481182,0.7900247606309522,1068.1750967929534,1068.1750967929534,650.196075410482,485.0533695053411,"[0.0, 0.0, 0.0, 0.0, 0.0]"
edgertronic_4,fit,strong,k1_square,94,94,0,0.25247633171058376,0.20417702198028564,0.42146191000938416,0.28780638608455184,0.3411576803687079,0.7815336817047497,1070.580620841368,1070.580620841368,631.7690733381846,530.2361168648954,"[-0.1410584262214351, 0.0, 0.0, 0.0, 0.0]"
iphone_iphone,fit,strong,k1_square,296,120,0,0.19640791137508493,0.1456272006034851,0.3636930584907532,0.3080341707531588,0.3741747033295941,0.7357169261116495,1005.2285143291539,1005.2285143291539,638.63874321126,369.98895587767066,"[0.15262463214458274, 0.0, 0.0, 0.0, 0.0]"
