dataset,column,dtype,example,description,documented
high_performance,test_date,str,2021-07-27,,False
high_performance,playing_level,str,High School,,False
high_performance,bat_speed_mph_group,str,<65,,False
high_performance,pitch_speed_mph_group,str,85-90,,False
high_performance,jump_height_(imp-mom)_[cm]_mean_cmj,float64,38.47,,False
high_performance,lower-limb_stiffness_[n/m]_mean_cmj,float64,2896.73,,False
high_performance,peak_power_[w]_mean_cmj,float64,3353.12,,False
high_performance,peak_power_/_bm_[w/kg]_mean_cmj,float64,52.84,,False
high_performance,eccentric_braking_rfd_[n/s]_mean_cmj,float64,2846.22,,False
high_performance,eccentric_duration_[ms]_mean_cmj,float64,614.75,,False
high_performance,concentric_duration_[ms]_mean_cmj,float64,316.75,,False
high_performance,rsi-modified_[m/s]_mean_cmj,float64,0.43,,False
high_performance,countermovement_depth_[cm]_mean_cmj,float64,-36.45,,False
high_performance,"cmj_stiffness_asymmetry_[%_l,r]_mean_cmj",float64,3.59,,False
high_performance,"eccentric_deceleration_impulse_(asymmetry)_[%_l,r]_mean_cmj",float64,13.17,,False
high_performance,"p1_concentric_impulse_asymmetry_[%_l,r]_mean_cmj",float64,0.8,,False
high_performance,"p2_concentric_impulse_asymmetry_[%_l,r]_mean_cmj",float64,0.73,,False
high_performance,concentric_peak_force_[n]_mean_cmj,float64,1387.4,,False
high_performance,eccentric_peak_force_[n]_mean_cmj,float64,1374.4,,False
high_performance,minimum_eccentric_force_[n]_mean_cmj,float64,318.02,,False
high_performance,jump_height_(imp-mom)_[cm]_mean_sj,float64,33.35,,False
high_performance,peak_power_[w]_mean_sj,float64,3154.01,,False
high_performance,peak_power_/_bm_[w/kg]_mean_sj,float64,49.7,,False
high_performance,"p1_concentric_impulse_asymmetry_[%_l,r]_mean_sj",float64,-3.86,,False
high_performance,"p2_concentric_impulse_asymmetry_[%_l,r]_mean_sj",float64,-1.79,,False
high_performance,peak_vertical_force_[n]_max_imtp,float64,2206.93,,False
high_performance,net_peak_vertical_force_[n]_max_imtp,float64,1587.84,,False
high_performance,force_at_100ms_[n]_max_imtp,float64,861.51,,False
high_performance,force_at_150ms_[n]_max_imtp,float64,1026.83,,False
high_performance,force_at_200ms_[n]_max_imtp,float64,1198.14,,False
high_performance,best_active_stiffness_[n/m]_mean_ht,float64,175423.49,,False
high_performance,best_jump_height_(flight_time)_[cm]_mean_ht,float64,22.41,,False
high_performance,best_rsi_(flight/contact_time)_mean_ht,float64,2.21,,False
high_performance,best_rsi_(jump_height/contact_time)_[m/s]_mean_ht,float64,115.68,,False
high_performance,peak_takeoff_force_[n]_mean_pp,float64,1553.54,,False
high_performance,peak_eccentric_force_[n]_mean_pp,float64,1010.79,,False
high_performance,"peak_takeoff_force_asymmetry_[%_l,r]_mean_pp",float64,-17.95,,False
high_performance,"peak_eccentric_force_asymmetry_[%_l,r]_mean_pp",float64,-9.54,,False
high_performance,TSpineRomR,float64,51.0,,False
high_performance,TSpineRomL,float64,52.0,,False
high_performance,ShoulderERL,float64,22.4,,False
high_performance,ShoulderERR,float64,26.2,,False
high_performance,ShoulderIRL,float64,24.2,,False
high_performance,ShoulderIRR,float64,28.1,,False
high_performance,pitching_session_date,str,2023-01-31,,False
high_performance,pitch_speed_mph,float64,88.3,,False
high_performance,pitching_max_hss,float64,43.8,,False
high_performance,hitting_session_date,str,2021-07-27,,False
high_performance,bat_speed_mph,float64,52.7,,False
high_performance,hitting_max_hss,float64,26.8,,False
high_performance,relative_strength,float64,2.55,,False
high_performance,body_weight_[lbs],float64,139.61,,False
high_performance,athlete_uid,str,fd3d7a63-ef2c-43d5-96dd-1f5c1762b025,,False
