test_date,playing_level,bat_speed_mph_group,pitch_speed_mph_group,jump_height_(imp-mom)_[cm]_mean_cmj,lower-limb_stiffness_[n/m]_mean_cmj,peak_power_[w]_mean_cmj,peak_power_/_bm_[w/kg]_mean_cmj,eccentric_braking_rfd_[n/s]_mean_cmj,eccentric_duration_[ms]_mean_cmj,concentric_duration_[ms]_mean_cmj,rsi-modified_[m/s]_mean_cmj,countermovement_depth_[cm]_mean_cmj,"cmj_stiffness_asymmetry_[%_l,r]_mean_cmj","eccentric_deceleration_impulse_(asymmetry)_[%_l,r]_mean_cmj","p1_concentric_impulse_asymmetry_[%_l,r]_mean_cmj","p2_concentric_impulse_asymmetry_[%_l,r]_mean_cmj",concentric_peak_force_[n]_mean_cmj,eccentric_peak_force_[n]_mean_cmj,minimum_eccentric_force_[n]_mean_cmj,jump_height_(imp-mom)_[cm]_mean_sj,peak_power_[w]_mean_sj,peak_power_/_bm_[w/kg]_mean_sj,"p1_concentric_impulse_asymmetry_[%_l,r]_mean_sj","p2_concentric_impulse_asymmetry_[%_l,r]_mean_sj",peak_vertical_force_[n]_max_imtp,net_peak_vertical_force_[n]_max_imtp,force_at_100ms_[n]_max_imtp,force_at_150ms_[n]_max_imtp,force_at_200ms_[n]_max_imtp,best_active_stiffness_[n/m]_mean_ht,best_jump_height_(flight_time)_[cm]_mean_ht,best_rsi_(flight/contact_time)_mean_ht,best_rsi_(jump_height/contact_time)_[m/s]_mean_ht,peak_takeoff_force_[n]_mean_pp,peak_eccentric_force_[n]_mean_pp,"peak_takeoff_force_asymmetry_[%_l,r]_mean_pp","peak_eccentric_force_asymmetry_[%_l,r]_mean_pp",TSpineRomR,TSpineRomL,ShoulderERL,ShoulderERR,ShoulderIRL,ShoulderIRR,pitching_session_date,pitch_speed_mph,pitching_max_hss,hitting_session_date,bat_speed_mph,hitting_max_hss,relative_strength,body_weight_[lbs]
2021-07-27,High School,<65,,38.47,2896.73,3353.12,52.84,2846.22,614.75,316.75,0.43,-36.45,3.59,13.17,0.8,0.73,1387.4,1374.4,318.02,33.35,3154.01,49.7,-3.86,-1.79,2206.93,1587.84,861.51,1026.83,1198.14,175423.49,22.41,2.21,115.68,,,,,51.0,52.0,22.4,26.2,24.2,28.1,,,,2021-07-27,52.7,26.8,2.55,139.61
2021-08-12,College,<65,,23.45,5415.16,3311.7,42.11,5282.67,420.0,289.25,0.38,-27.77,-0.07,-9.29,-7.85,12.46,1701.31,1618.55,113.93,22.63,3342.22,42.5,-1.96,1.58,3201.1,2427.16,825.1,1094.7,1540.9,62347.62,17.76,2.37,108.28,,,,,50.0,50.0,45.3,38.1,51.7,50.1,,,,2021-08-19,61.1,25.0,3.15,173.01
2021-08-27,High School,<65,,43.09,3305.2,3240.11,58.09,2968.82,481.25,275.75,0.59,-33.0,3.5,8.79,4.13,-1.4,1288.82,1217.23,126.1,39.02,2892.0,51.85,0.29,0.92,2512.12,1963.24,910.97,1277.17,1875.42,27246.58,27.54,2.41,135.9,,,,,59.0,63.0,29.0,30.7,31.0,26.2,,,,2021-08-24,54.5,15.1,3.59,122.72
2021-09-16,College,70+,,45.82,4525.09,5443.3,61.16,5537.47,528.75,281.75,0.6,-40.6,-3.68,-8.95,3.44,-0.55,2134.09,2131.4,295.45,43.83,5383.53,60.49,-2.89,1.97,4560.2,3691.72,1468.4,1925.8,2385.6,42117.34,25.04,2.51,136.16,,,,,59.0,64.0,60.2,51.7,65.2,50.9,,,,2021-09-16,73.0,36.1,4.23,195.8
2021-09-28,College,<65,,40.19,5999.71,4970.38,57.06,7077.01,486.0,265.0,0.61,-33.14,11.44,8.24,10.44,16.31,2163.6,2154.31,203.49,35.19,4385.42,50.34,15.99,8.23,4013.7,3160.13,1444.9,1846.6,2292.7,37800.67,31.27,2.7,168.55,,,,,76.0,64.0,42.1,58.2,44.8,51.7,,,,2021-09-28,64.6,20.7,3.7,191.66
2021-10-05,Pro,65-70,,42.53,7944.42,5803.68,60.55,10848.39,419.0,244.75,0.78,-33.49,-2.26,-1.11,-1.55,-11.24,2643.01,2645.84,42.86,39.75,5452.82,56.89,1.37,-4.45,4618.3,3682.45,2102.9,2889.3,3512.8,57017.78,40.39,3.1,213.86,,,,,58.0,47.0,50.3,52.0,72.7,51.7,,,,2021-10-05,67.5,17.6,3.92,210.87
2021-10-07,Pro,70+,,37.24,6852.51,4952.82,49.53,9588.31,466.5,268.75,0.57,-37.79,-7.03,-14.03,-1.73,3.44,2702.87,2718.51,141.57,32.63,4795.69,47.97,-18.43,2.44,4726.4,3744.66,1982.3,2834.4,3416.3,117676.95,35.75,2.75,169.21,,,,,59.0,45.0,,,,,,,,2021-10-06,71.0,25.0,3.82,219.98
2021-10-13,Pro,65-70,,45.37,7816.27,6008.64,66.32,11031.24,385.75,236.25,0.78,-32.03,-0.74,6.36,-0.71,-16.92,2561.25,2540.29,43.38,44.44,6088.02,67.19,-9.45,-7.0,4166.3,3282.43,1454.4,1848.6,2386.5,34562.41,38.72,2.5,156.59,,,,,49.0,43.0,58.7,63.4,61.0,69.2,,,,2021-10-12,67.3,24.1,3.69,199.34
2021-10-30,College,<65,,36.06,7608.51,5307.55,52.53,9309.66,469.75,250.5,0.53,-33.68,11.53,14.76,4.27,-6.9,2612.47,2657.89,99.65,29.44,4761.73,47.13,4.87,0.16,4245.8,3259.05,1807.9,2339.0,2837.2,44299.12,26.81,2.27,126.15,,,,,56.0,53.0,55.8,53.4,47.1,33.0,,,,2021-10-29,64.5,9.1,3.29,222.29
2021-11-02,Pro,65-70,,50.13,5779.79,6301.85,65.02,7627.49,495.75,278.0,0.75,-39.72,0.49,4.3,1.15,2.43,2452.44,2445.75,151.31,47.24,6341.46,65.43,-0.56,1.81,4864.6,3918.16,1461.1,2005.1,2626.2,55766.62,23.84,2.26,113.09,,,,,54.0,59.0,56.8,57.5,63.0,55.7,,,,2021-11-01,68.7,19.0,4.12,213.22
2021-11-03,High School,<65,,37.85,4476.37,4486.39,55.71,5409.69,505.75,320.0,0.47,-42.27,-9.17,-9.99,-10.39,-13.09,2018.84,2003.28,104.1,38.07,4892.73,60.75,-6.25,-11.04,3071.2,2283.04,1135.8,1442.6,1702.2,52328.3,24.71,2.85,166.74,,,,,48.0,49.0,53.4,48.9,48.7,49.0,,,,2021-11-02,57.9,16.3,2.89,177.19
2021-11-04,Pro,65-70,,41.99,4466.35,4998.35,55.22,5189.57,540.25,310.25,0.52,-41.36,4.17,0.18,3.05,8.45,2020.69,1988.87,145.25,39.02,4992.78,55.16,5.33,6.66,3710.0,2822.01,1283.1,1624.0,2047.2,32426.21,26.18,2.16,123.03,,,,,53.0,61.0,43.0,48.2,51.4,51.9,,,,2021-11-03,69.0,20.0,3.18,199.14
2021-11-06,College,65-70,,41.27,5817.96,5156.97,54.44,8341.29,468.75,304.75,0.66,-43.79,-1.33,-7.03,-1.68,0.11,2487.46,2543.34,-2.86,39.61,5226.18,55.17,-4.44,-5.77,3722.3,2795.57,1668.6,2057.7,2469.8,53700.31,33.15,2.62,165.41,,,,,63.0,61.0,53.0,54.7,77.1,73.5,,,,2021-11-02,69.7,21.9,3.01,208.41
2021-11-10,Pro,65-70,,50.43,6733.98,5544.43,67.52,9656.87,433.75,229.5,0.83,-36.74,-4.61,-3.5,-0.59,13.34,2551.4,2555.01,85.28,47.29,5242.52,63.85,11.87,9.32,5133.3,4328.76,1296.6,1757.1,2462.9,41808.57,42.6,2.88,206.44,,,,,64.0,63.0,47.9,58.7,73.8,63.3,,,,2021-11-10,69.0,19.8,5.38,180.64
2021-11-10,College,<65,,38.69,5159.78,5070.99,56.42,5447.79,518.75,267.75,0.55,-32.4,10.92,14.61,12.42,18.85,2107.84,2027.58,357.2,32.39,4490.24,49.96,18.91,11.31,3918.2,3039.62,1369.9,1626.5,2113.6,37637.66,32.33,2.51,158.12,,,,,76.0,73.0,60.5,64.2,66.0,73.6,,,,2021-11-10,64.0,25.9,3.45,197.76
